User ID,Rating,Latitude,Longitude
1,4,19.101211883,72.872613785
2,1,22.0471862,88.10433433
3,3,25.5929803,85.1397347
4,4,18.7281025,73.685811
5,4,-1,-1
6,1,23.2400807,87.0750696
7,1,28.497526813,77.288618619
8,3,13.06244541,80.263374746
9,3,-1,-1
10,4,-1,-1
11,5,19.32213465,84.79458745
12,4,18.48973432,73.84858877
13,5,-1,-1
14,4,-1,-1
15,5,25.96097116,79.18546336
16,1,27.195900367,77.963828335
17,2,22.247490833,84.849337219
18,3,-1,-1
19,4,22.6356984,88.4401907
20,5,12.9179568,80.1284577
21,5,26.896508333,75.738706667
22,4,18.9839685,72.8392757
23,2,17.3321909,78.5276628
24,3,17.3321909,78.5276628
25,2,17.3321909,78.5276628
26,5,10.03792062,77.16250774
27,5,18.9841398,72.838987
28,4,17.3540844,78.4186158
29,5,11.7558192,76.0072211
30,5,11.7174287,76.1601142
31,5,11.6627469,76.2519931
32,5,11.6610015,76.2504595
33,5,11.7047463,76.1813277
34,5,11.7047463,76.1813277
35,5,11.6632502,76.2520455
36,5,11.6630294,76.2521388
37,5,11.6771436,75.6441723
38,5,29.5143572,76.9083239
39,5,29.5143839,76.9082861
40,5,29.6981269,77.0303492
41,5,29.5142682,76.9082689
42,5,28.62929665,77.44126957
43,5,28.6190285,77.4253112
44,1,23.2400807,87.0750696
45,1,23.5565118,72.617512
46,5,18.9839837,72.8392945
47,4,12.9238978,77.647457
48,5,12.91912029,80.12790141
49,1,27.195900367,77.963828335
50,1,27.195900367,77.963828335
51,1,24.4117447,75.8290503
52,5,24.40429448,75.8241444
53,4,24.4117447,75.8290503
54,5,29.67276807,77.00750128
55,5,10.58327144,77.26369358
56,5,11.6771436,75.6441723
57,4,25.96084676,79.18558376
58,3,13.0616093,77.4970999
59,1,12.93197146,77.60737811
60,1,12.93197146,77.60737811
61,5,22.7834982,86.1679586
62,4,-1,-1
63,4,-1,-1
64,4,-1,-1
65,4,-1,-1
66,4,22.45897473,87.94965075
67,4,15.3896097,77.2243907
68,4,19.895693106,73.82244219
69,3,21.190157963,72.786989257
70,1,28.715450638,77.171632145
71,5,12.890316136,80.083973699
72,4,13.0124891,77.6929701
73,5,-1,-1
74,1,12.90312483,77.51786597
75,5,22.7835135,86.1679554
76,2,-1,-1
77,1,27.80301419,78.63810993
78,1,12.90312483,77.51786597
79,5,12.890316136,80.083973699
80,4,-1,-1
81,5,18.6388701,73.8045411
82,4,18.7798575,73.77543344
83,1,18.6318186,73.8093031
84,1,18.5518581,73.89632518
85,5,12.890316136,80.083973699
86,1,25.589045,85.150966667
87,2,-1,-1
88,1,13.0615903,77.497024
89,2,-1,-1
90,2,-1,-1
91,5,-1,-1
92,1,13.0616131,77.4971028
93,4,22.27575829,70.85834127
94,1,27.195900367,77.963828335
95,1,27.195900367,77.963828335
96,1,27.195900367,77.963828335
97,1,27.195900367,77.963828335
98,1,27.195900367,77.963828335
99,1,27.195900367,77.963828335
100,1,27.195900367,77.963828335
101,3,27.195900367,77.963828335
102,1,27.195900367,77.963828335
103,1,27.195900367,77.963828335
104,1,27.195900367,77.963828335
105,1,28.46482083,77.29631496
106,2,27.195900367,77.963828335
107,3,27.195900367,77.963828335
108,5,17.4119716,78.5657664
109,1,27.195900367,77.963828335
110,3,27.195900367,77.963828335
111,4,13.0126632,77.6928656
112,1,13.0126632,77.6928656
113,1,23.5542178,72.6201459
114,5,22.45601208,88.37047534
115,5,-1,-1
116,4,13.0007676,77.6767702
117,5,-1,-1
118,5,12.2662606,76.6027151
119,1,29.67286512,77.00749721
120,2,9.1639123,76.76953087
121,4,22.6357089,88.4401991
122,4,17.4527083,78.50166
123,4,22.6357089,88.4401991
124,4,-1,-1
125,3,22.63242013,88.37315648
126,5,22.2871531,87.9180048
127,1,23.55416866,72.620049769
128,2,25.3812523,84.4673063
129,5,18.6029825,73.7608402
130,4,-1,-1
131,1,12.6926814,79.98124085
132,4,18.50733331,73.87878017
133,4,18.50733331,73.87878017
134,1,18.49267052,73.8491316
135,4,-1,-1
136,1,12.6583768,79.9998147
137,5,22.491959995,88.386209635
138,5,29.67283833,77.00743687
139,5,12.9493287,80.1842061
140,1,12.65881639,79.9998312
141,1,28.5900763,76.9961671
142,4,19.0285263,72.8628096
143,1,28.72430343,77.18198695
144,5,11.36767185,77.74900198
145,1,10.58327144,77.26369358
146,1,28.4233529,77.3494913
147,5,21.0975795,79.0642413
148,3,19.11778609,72.8680459
149,5,18.5827513,73.8240986
